time,height,wind_speed,wind_direction,temperature,virtual_temperature,tke,sst,surface_heat_flux,invMOL,ustar,time_,time,height,u,v,is_neutral,neutral_duration
2016-04-09 02:30:00+00:00,10,4.22,285.65,281.63,281.63,0.078,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,10,-4.0635543,1.1383871,1,900
2016-04-09 02:30:00+00:00,20,5.28,287.05,281.63,281.63,0.106,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,20,-5.0479407,1.5481268,1,900
2016-04-09 02:30:00+00:00,40,5.58,287.5,281.47998,281.47998,0.105,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,40,-5.32174,1.6779393,1,900
2016-04-09 02:30:00+00:00,60,5.8,288.09,281.34,281.34,0.111,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,60,-5.5133057,1.8009613,1,900
2016-04-09 02:30:00+00:00,80,6.13,289.05,281.19998,281.19998,0.12,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,80,-5.794286,2.0007873,1,900
2016-04-09 02:30:00+00:00,100,6.43,289.95,281.06,281.06,0.122,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,100,-6.0441403,2.1939156,1,900
2016-04-09 02:30:00+00:00,120,6.7,290.86,280.91998,280.91998,0.12,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,120,-6.260838,2.385771,1,900
2016-04-09 02:30:00+00:00,140,6.97,291.76,280.78,280.78,0.115,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,140,-6.4733515,2.583915,1,900
2016-04-09 02:30:00+00:00,160,7.22,292.7,280.63998,280.63998,0.106,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,160,-6.660725,2.786241,1,900
2016-04-09 02:30:00+00:00,180,7.46,293.64,280.5,280.5,0.096,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,180,-6.833978,2.991378,1,900
2016-04-09 02:30:00+00:00,200,7.69,294.55,280.35,280.35,0.085,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,200,-6.994817,3.1950958,1,900
2016-04-09 02:30:00+00:00,220,7.9,295.37,280.19,280.19,0.074,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,220,-7.138122,3.3848505,1,900
2016-04-09 02:30:00+00:00,240,8.1,296.12,280.03,280.03,0.064,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,240,-7.272781,3.566044,1,900
2016-04-09 02:30:00+00:00,260,8.23,296.58,279.85,279.85,0.056,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,260,-7.3601756,3.6824856,1,900
2016-04-09 02:30:00+00:00,280,8.37,297.03,279.68,279.68,0.049,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,280,-7.4557333,3.8038058,1,900
2016-04-09 02:30:00+00:00,300,8.45,297.29,279.49,279.49,0.044,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,300,-7.5094924,3.8742774,1,900
2016-04-09 02:30:00+00:00,400,8.82,298.3,278.56,278.56,0.027,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,400,-7.765811,4.181456,1,900
2016-04-09 02:30:00+00:00,500,9.0,298.89,277.6,277.6,0.02,281.29,-2.4472504,-0.0006103702,0.1335,1460169000000000000,2016-04-09 02:30:00+00:00,500,-7.879939,4.348167,1,900
2016-04-09 02:35:00+00:00,10,4.26,287.3,281.63,281.63,0.08,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,10,-4.0672812,1.2668166,1,0
2016-04-09 02:35:00+00:00,20,5.3,288.69,281.62,281.62,0.11,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,20,-5.0205116,1.6983721,1,0
2016-04-09 02:35:00+00:00,40,5.6,289.16,281.47998,281.47998,0.11,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,40,-5.289792,1.8379599,1,0
2016-04-09 02:35:00+00:00,60,5.82,289.74,281.32,281.32,0.116,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,60,-5.4779882,1.9657178,1,0
2016-04-09 02:35:00+00:00,80,6.13,290.65,281.18,281.18,0.126,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,80,-5.736161,2.1617944,1,0
2016-04-09 02:35:00+00:00,100,6.41,291.55,281.04,281.04,0.13,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,100,-5.9619246,2.354475,1,0
2016-04-09 02:35:00+00:00,120,6.68,292.46,280.9,280.9,0.131,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,120,-6.1732993,2.5520144,1,0
2016-04-09 02:35:00+00:00,140,6.95,293.39,280.75998,280.75998,0.128,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,140,-6.3788757,2.7590656,1,0
2016-04-09 02:35:00+00:00,160,7.22,294.37,280.62,280.62,0.122,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,160,-6.5766964,2.9791715,1,0
2016-04-09 02:35:00+00:00,180,7.47,295.32,280.47,280.47,0.114,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,180,-6.7523813,3.1947207,1,0
2016-04-09 02:35:00+00:00,200,7.72,296.21,280.32,280.32,0.104,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,200,-6.9262404,3.409631,1,0
2016-04-09 02:35:00+00:00,220,7.94,296.96,280.16,280.16,0.091,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,220,-7.077108,3.599743,1,0
2016-04-09 02:35:00+00:00,240,8.15,297.65,280.0,280.0,0.079,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,240,-7.219261,3.7821639,1,0
2016-04-09 02:35:00+00:00,260,8.32,298.17,279.81,279.81,0.067,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,260,-7.3345003,3.9277852,1,0
2016-04-09 02:35:00+00:00,280,8.48,298.66,279.63,279.63,0.055,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,280,-7.441041,4.0671005,1,0
2016-04-09 02:35:00+00:00,300,8.55,298.85,279.46,279.46,0.049,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,300,-7.4888244,4.125532,1,0
2016-04-09 02:35:00+00:00,400,8.83,299.71,278.55,278.55,0.027,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,400,-7.669254,4.3762364,1,0
2016-04-09 02:35:00+00:00,500,8.92,300.11,277.6,277.6,0.019,281.29,-2.4808044,-0.0006103702,0.135,1460169300000000000,2016-04-09 02:35:00+00:00,500,-7.7163706,4.474821,1,0
2016-04-09 02:40:00+00:00,10,4.31,289.27,281.63,281.63,0.082,281.29,-2.5108948,-0.0009155553,0.1367,1460169600000000000,2016-04-09 02:40:00+00:00,10,-4.0685277,1.4223858,1,0
